code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
128,0.65,3,6,1,1.26577328200005,1,56,2,3,1.20635353800003,1,1.26577328200005,3,1,0,0,0,6.12323399573677e-17,1,1
214,0.65,3,8,1,1.45321075300012,2,70,13,3,0.712469064000061,0,NaN,NaN,0,0,1,0,NaN,NaN,1
231,0.65,1,10,2,1.56564703399999,2,15,13,2,0.950592717000063,1,1.56564703399999,2,0,1,0,0,NaN,NaN,1
193,1.4,3,8,1,1.74598886100011,1,49,8,3,1.09932146999995,1,1.74598886100011,3,1,0,0,0,0.923879532511287,-0.38268343236509,1
285,1.4,3,10,1,1.25332408200006,1,69,4,4,0.524274246000004,1,1.25332408200006,4,1,0,0,0,-0.587785252292473,0.809016994374947,1
160,0.65,1,8,1,1.96512756199991,1,16,5,1,0.965899565999962,1,1.96512756199991,1,1,0,0,0,-0.923879532511287,-0.38268343236509,1
98,1.4,1,6,2,1.66690291500004,2,26,8,3,0.356528745000105,1,1.66690291500004,3,0,1,0,0,NaN,NaN,1
241,1.4,1,10,1,1.58991687299999,1,25,2,3,0.373277311000038,1,1.58991687299999,3,1,0,0,0,0.587785252292473,0.809016994374947,1
1,0.65,1,4,2,1.49892556399982,2,1,6,4,0.651042378999819,1,1.49892556399982,4,0,1,0,0,NaN,NaN,1
162,0.65,1,8,2,0.709303643000112,2,18,11,4,1.5540451400002,1,0.709303643000112,4,0,1,0,0,NaN,NaN,1
26,1.4,1,4,1,1.27824546500005,1,26,2,4,0.390607857000077,1,1.27824546500005,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
249,1.4,1,10,1,1.553202994,2,33,14,2,0.424127237999983,0,NaN,NaN,0,0,1,0,NaN,NaN,1
149,0.65,1,8,1,0.761921283999982,1,5,3,4,0.219928325999945,1,0.761921283999982,4,1,0,0,0,-0.38268343236509,0.923879532511287,1
112,1.4,3,6,2,1.08020298800011,2,40,10,2,0.556539382999972,1,1.08020298800011,2,0,1,0,0,NaN,NaN,1
93,1.4,1,6,1,1.47323119399994,1,21,2,4,0.341913046999935,1,1.47323119399994,4,1,0,0,0,6.12323399573677e-17,1,1
29,1.4,1,4,1,0.990115555999864,1,29,3,4,0.690956429999915,1,0.990115555999864,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
219,0.65,1,10,2,1.57593677199998,1,3,8,1,0.647369251999862,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,1
256,1.4,3,10,1,1.44417004599995,2,40,15,2,0.513762091999979,0,NaN,NaN,0,0,1,0,NaN,NaN,1
82,0.65,1,6,1,1.16046600599998,1,10,1,2,0.719595195000011,1,1.16046600599998,2,1,0,0,0,0.866025403784439,0.5,1
31,1.4,1,4,1,0.797067109999944,1,31,2,4,0.411936700000069,1,0.797067109999944,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
32,1.4,1,4,2,0.759690294000166,2,32,8,4,0.469698821000065,1,0.759690294000166,4,0,1,0,0,NaN,NaN,1
99,1.4,1,6,2,1.09173249199989,2,27,8,3,1.97812840300003,1,1.09173249199989,3,0,1,0,0,NaN,NaN,1
147,0.65,1,8,2,1.966270786,2,3,15,2,0.494847842000127,1,1.966270786,2,0,1,0,0,NaN,NaN,1
67,1.4,3,4,2,0.680152602000135,2,67,6,4,0.474110728999904,1,0.680152602000135,4,0,1,0,0,NaN,NaN,1
155,0.65,1,8,1,1.00421520800001,1,11,1,3,0.421424651999814,1,1.00421520800001,3,1,0,0,0,0.923879532511287,0.38268343236509,1
131,1.4,3,6,2,1.29932753699995,2,59,7,3,2.00250703100005,1,1.29932753699995,3,0,1,0,0,NaN,NaN,1
80,0.65,1,6,2,3.02266627599988,1,8,5,2,2.48366600200006,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,1
62,0.65,3,4,2,2.86530456199989,2,62,7,2,0.743376502000046,1,2.86530456199989,2,0,1,0,0,NaN,NaN,1
184,1.4,3,8,1,0.769442162000132,1,40,5,4,0.646922363000158,1,0.769442162000132,4,1,0,0,0,-0.923879532511287,-0.38268343236509,1
4,0.65,1,4,2,0.656351951000033,2,4,8,4,0.392453592000038,1,0.656351951000033,4,0,1,0,0,NaN,NaN,1
88,0.65,1,6,1,1.72993488199995,2,16,10,1,0.788214261999883,0,NaN,NaN,0,0,1,0,NaN,NaN,1
243,1.4,1,10,2,1.71130543000004,1,27,1,1,0.861536262000072,0,NaN,NaN,0,0,0,1,0.951056516295154,0.309016994374947,1
218,0.65,1,10,2,0.866434679000122,1,2,8,3,0.732349880999891,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,1
164,1.4,1,8,1,0.690269382999986,1,20,1,3,0.567747280000049,1,0.690269382999986,3,1,0,0,0,0.923879532511287,0.38268343236509,1
66,0.65,3,4,1,0.76267165299987,1,66,3,4,0.829277754000032,1,0.76267165299987,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
