code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
640,1.4,1,8,2,1.13558298000021,2,256,11,2,1.99971053499985,2,1,1.13558298000021,2,0,1,0,0,NaN,NaN,2
616,1.4,3,8,1,0.975531632000184,2,232,16,2,0.443944518999842,1,0,NaN,NaN,0,0,1,0,NaN,NaN,2
695,1.4,1,8,1,0.56885019099991,2,311,9,3,1.54917465199992,3,0,NaN,NaN,0,0,1,0,NaN,NaN,2
593,1.4,1,8,1,1.06815349900012,2,209,12,2,1.27535651799985,1,0,NaN,NaN,0,0,1,0,NaN,NaN,2
621,0.65,3,8,2,1.50205454499996,2,237,16,3,0.30339563099983,1,1,1.50205454499996,3,0,1,0,0,NaN,NaN,2
437,1.4,1,4,1,0.567065874000036,1,53,2,4,0.340969430000087,2,1,0.567065874000036,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
492,1.4,1,4,1,0.366402076999975,1,108,3,4,0.167437715999995,3,1,0.366402076999975,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
464,1.4,3,4,1,1.16947125699994,1,80,2,4,0.170134662999999,2,1,1.16947125699994,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
450,1.4,1,4,2,0.502882545000148,2,66,8,4,0.502498795000065,2,1,0.502882545000148,4,0,1,0,0,NaN,NaN,2
399,1.4,1,4,2,0.999552451,2,15,6,4,0.335175682999989,1,1,0.999552451,4,0,1,0,0,NaN,NaN,2
732,1.4,1,8,1,0.467463534999979,1,348,8,4,0.162999842999852,4,1,0.467463534999979,4,1,0,0,0,0.923879532511287,-0.38268343236509,2
599,1.4,1,8,2,1.00190169799998,2,215,13,3,0.467150168999979,1,1,1.00190169799998,3,0,1,0,0,NaN,NaN,2
451,1.4,1,4,2,1.20044829100016,2,67,7,4,0.166538843999888,2,1,1.20044829100016,4,0,1,0,0,NaN,NaN,2
661,0.65,3,8,1,0.774653425999986,2,277,13,2,0.942796583000018,2,0,NaN,NaN,0,0,1,0,NaN,NaN,2
503,1.4,1,4,2,0.80028593399993,2,119,6,4,0.169846676000134,3,1,0.80028593399993,4,0,1,0,0,NaN,NaN,2
548,1.4,1,4,2,0.502575031000106,2,164,7,4,0.168977469000083,4,1,0.502575031000106,4,0,1,0,0,NaN,NaN,2
531,1.4,1,4,1,0.474037611000085,1,147,4,4,0.509141912000132,4,1,0.474037611000085,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
733,1.4,1,8,2,1.00190801899998,2,349,9,2,0.601130160000139,4,1,1.00190801899998,2,0,1,0,0,NaN,NaN,2
635,1.4,1,8,1,0.669543035999823,1,251,4,3,0.804010897000126,2,1,0.669543035999823,3,1,0,0,0,-0.923879532511287,0.38268343236509,2
