Subject_code,foreperiod,predictability,difficulty,IES
1,0.65,1,4,0.811484512400421
1,0.65,1,6,2.80744709433354
1,0.65,1,8,0.947783261250152
1,0.65,1,10,4.81922744299982
1,0.65,3,4,0.568321569999777
1,0.65,3,6,1.87166583903386
1,0.65,3,8,0.696600011250212
1,0.65,3,10,2.55382984000016
1,1.4,1,4,0.524804266856985
1,1.4,1,6,2.36139761000049
1,1.4,1,8,2.50859608400106
1,1.4,1,10,2.2311246381431
1,1.4,3,4,0.485932549000063
1,1.4,3,6,0.972354816999541
1,1.4,3,8,1.50737360475
1,1.4,3,10,2.23407703349972
2,0.65,1,4,0.703008687545
2,0.65,1,6,2.81633993799869
2,0.65,1,8,2.54912846699972
2,0.65,1,10,5.62434858599954
2,0.65,3,4,2.2858990534005
2,0.65,3,6,1.87166583903386
2,0.65,3,8,2.68437936200007
2,0.65,3,10,6.91224034600236
2,1.4,1,4,1.23496380300033
2,1.4,1,6,1.24915273279948
2,1.4,1,8,3.74363725749936
2,1.4,1,10,2.36824932219934
2,1.4,3,4,2.45985756599839
2,1.4,3,6,2.51187441499981
2,1.4,3,8,1.6831799800002
2,1.4,3,10,5.04217838099976
3,0.65,1,4,1.21097095900113
3,0.65,1,6,0.732536748666462
3,0.65,1,8,1.6504331503323
3,0.65,1,10,2.71222345899969
3,0.65,3,4,1.54938469200169
3,0.65,3,6,2.55018984600065
3,0.65,3,8,1.84879829599959
3,0.65,3,10,1.77361871333293
3,1.4,1,4,1.04585363520055
3,1.4,1,6,0.987602365700877
3,1.4,1,8,2.7712928862511
3,1.4,1,10,3.19944713599907
3,1.4,3,4,0.843738514332775
3,1.4,3,6,1.07933861833347
3,1.4,3,8,5.79588493599295
3,1.4,3,10,1.76828810475126
4,0.65,1,4,1.24495644527282
4,0.65,1,6,1.61484822814301
4,0.65,1,8,2.10899954900015
4,0.65,1,10,2.20707604383324
4,0.65,3,4,1.07243656466653
4,0.65,3,6,1.8872367765
4,0.65,3,8,1.77464270750011
4,0.65,3,10,1.91224262579963
4,1.4,1,4,1.65428003350007
4,1.4,1,6,2.18153747600008
4,1.4,1,8,2.0683732626249
4,1.4,1,10,2.02709532449997
4,1.4,3,4,0.8623221273333
4,1.4,3,6,2.11546749800004
4,1.4,3,8,1.09529777499972
4,1.4,3,10,1.71773006800019
5,0.65,1,4,0.685577263285917
5,0.65,1,6,1.10948982429909
5,0.65,1,8,1.27774906974992
5,0.65,1,10,1.96254265839962
5,0.65,3,4,0.566639062571215
5,0.65,3,6,2.06134314749943
5,0.65,3,8,1.07236732799993
5,0.65,3,10,5.52778826899885
5,1.4,1,4,0.98529008325022
5,1.4,1,6,1.92330422919986
5,1.4,1,8,1.438849705001
5,1.4,1,10,2.23443594133399
5,1.4,3,4,0.964897589199972
5,1.4,3,6,8.3581081400007
5,1.4,3,8,1.56088015899968
5,1.4,3,10,1.37853050849844
6,0.65,1,4,1.15788056437501
6,0.65,1,6,1.06893285937488
6,0.65,1,8,1.87470988583353
6,0.65,1,10,1.86365709400002
6,0.65,3,4,0.697575411399839
6,0.65,3,6,0.604837275666569
6,0.65,3,8,1.87166583903386
6,0.65,3,10,2.22233556799972
6,1.4,1,4,1.4842580558
6,1.4,1,6,1.33064705880006
6,1.4,1,8,1.422022637
6,1.4,1,10,1.94650787859991
6,1.4,3,4,1.10265685450008
6,1.4,3,6,3.23432704799984
6,1.4,3,8,1.91613638500007
6,1.4,3,10,2.19702462875017
7,0.65,1,4,0.650040404125093
7,0.65,1,6,1.75573025649965
7,0.65,1,8,3.45781241979967
7,0.65,1,10,2.58156079524997
7,0.65,3,4,0.745773270000124
7,0.65,3,6,2.10044311999991
7,0.65,3,8,6.90195419200063
7,0.65,3,10,6.94801736199952
7,1.4,1,4,0.820980673000031
7,1.4,1,6,1.44041420962515
7,1.4,1,8,1.20975261380008
7,1.4,1,10,5.3020493837505
7,1.4,3,4,0.749551150000419
7,1.4,3,6,5.87458471799982
7,1.4,3,8,2.44838492774988
7,1.4,3,10,1.75868010350018
8,0.65,1,4,0.536629124000001
8,0.65,1,6,1.06956647219995
8,0.65,1,8,0.89621569099992
8,0.65,1,10,0.968844208375231
8,0.65,3,4,0.716656421749576
8,0.65,3,6,0.666776154199761
8,0.65,3,8,1.87166583903386
8,0.65,3,10,0.522462382000716
8,1.4,1,4,0.58149285299967
8,1.4,1,6,1.2086412168571
8,1.4,1,8,0.819542627499914
8,1.4,1,10,1.23598617399997
8,1.4,3,4,0.636078876799729
8,1.4,3,6,0.476931000999684
8,1.4,3,8,0.607786161333327
8,1.4,3,10,0.868828452285535
9,0.65,1,4,0.823339665374874
9,0.65,1,6,1.90564706749994
9,0.65,1,8,2.34677276759994
9,0.65,1,10,2.50583000099991
9,0.65,3,4,1.13675553560006
9,0.65,3,6,0.785341390000099
9,0.65,3,8,1.89636077
9,0.65,3,10,2.07722522399968
9,1.4,1,4,0.915902978999936
9,1.4,1,6,2.71504937625008
9,1.4,1,8,2.15958522950001
9,1.4,1,10,2.46564627600007
9,1.4,3,4,0.657641023499991
9,1.4,3,6,4.02675305549951
9,1.4,3,8,1.95200062799987
9,1.4,3,10,2.3388501755004
10,0.65,1,4,0.770164833124909
10,0.65,1,6,0.783330072800527
10,0.65,1,8,2.41617188760029
10,0.65,1,10,1.1317043250001
10,0.65,3,4,0.500270287667263
10,0.65,3,6,2.04968280200046
