Subject_code,foreperiod,predictability,difficulty,IES
1,0.65,1,4,0.759735105080181
1,0.65,1,6,1.69837245822267
1,0.65,1,8,0.92805755793762
1,0.65,1,10,1.76228810799876
1,0.65,3,4,0.614048776443976
1,0.65,3,6,1.60889245057336
1,0.65,3,8,0.696600011250212
1,0.65,3,10,1.73119818599889
1,1.4,1,4,0.524804266856985
1,1.4,1,6,2.43583421080075
1,1.4,1,8,1.2051104400025
1,1.4,1,10,1.93396038297985
1,1.4,3,4,0.485932549000063
1,1.4,3,6,1.00126653687425
1,1.4,3,8,1.76032884637505
1,1.4,3,10,2.40310358249985
2,0.65,1,4,0.703008687545
2,0.65,1,6,1.95396861374888
2,0.65,1,8,1.97763571949963
2,0.65,1,10,2.49482284999613
2,0.65,3,4,1.75881370476076
2,0.65,3,6,1.60889245057336
2,0.65,3,8,1.22575172000097
2,0.65,3,10,6.98261104199992
2,1.4,1,4,1.18628241800009
2,1.4,1,6,1.19375824203977
2,1.4,1,8,5.42820236999978
2,1.4,1,10,1.82294610815967
2,1.4,3,4,1.70621131799817
2,1.4,3,6,1.51496323866619
2,1.4,3,8,0.857716443999379
2,1.4,3,10,2.64500137999858
3,0.65,1,4,1.0464337760811
3,0.65,1,6,0.732536748666462
3,0.65,1,8,1.51110552199953
3,0.65,1,10,2.55113310249908
3,0.65,3,4,0.682370184750653
3,0.65,3,6,2.10900640624914
3,0.65,3,8,1.860064874444
3,0.65,3,10,1.35586287866802
3,1.4,1,4,1.04585363520055
3,1.4,1,6,0.762642167280719
3,1.4,1,8,2.31512613700215
3,1.4,1,10,3.15281053383689
3,1.4,3,4,0.843738514332775
3,1.4,3,6,0.868742621055592
3,1.4,3,8,4.45853891099614
3,1.4,3,10,1.5190552284389
4,0.65,1,4,1.13218864998358
4,0.65,1,6,1.57224989208177
4,0.65,1,8,2.13067932224016
4,0.65,1,10,2.18753221155546
4,0.65,3,4,1.07243656466653
4,0.65,3,6,1.51819163812505
4,0.65,3,8,1.85892168450027
4,0.65,3,10,1.71486398467947
4,1.4,1,4,1.12413893400031
4,1.4,1,6,1.21027219908006
4,1.4,1,8,1.99561219710936
4,1.4,1,10,1.79761470466677
4,1.4,3,4,0.8623221273333
4,1.4,3,6,2.19634399875008
4,1.4,3,8,1.09529777499972
4,1.4,3,10,1.56761607688916
5,0.65,1,4,0.685577263285917
5,0.65,1,6,1.11499668686909
5,0.65,1,8,1.07269364062518
5,0.65,1,10,1.7156193894404
5,0.65,3,4,0.566639062571215
5,0.65,3,6,1.57915031499942
5,0.65,3,8,0.959462738123875
5,0.65,3,10,5.04856522798946
5,1.4,1,4,0.722859351562875
5,1.4,1,6,1.65603382343834
5,1.4,1,8,1.438849705001
5,1.4,1,10,2.29532399666884
5,1.4,3,4,0.937091829600104
5,1.4,3,6,10.8691568959912
5,1.4,3,8,1.21151256712483
5,1.4,3,10,1.01103944324859
6,0.65,1,4,1.06332960370315
6,0.65,1,6,0.943812622156095
6,0.65,1,8,1.71584539077801
6,0.65,1,10,1.54010104800022
6,0.65,3,4,0.671019409439814
6,0.65,3,6,0.604837275666569
6,0.65,3,8,1.60889245057336
6,0.65,3,10,1.70797860624958
6,1.4,1,4,1.14748810400008
6,1.4,1,6,1.5113728547201
6,1.4,1,8,1.37864595262494
6,1.4,1,10,1.40294472336001
6,1.4,3,4,1.25391957224997
6,1.4,3,6,2.44798850799998
6,1.4,3,8,1.33974531374975
6,1.4,3,10,2.62131444675023
7,0.65,1,4,0.650040404125093
7,0.65,1,6,1.39986025899992
7,0.65,1,8,2.86001828371984
7,0.65,1,10,2.4458947700619
7,0.65,3,4,0.745773270000124
7,0.65,3,6,1.27569531600057
7,0.65,3,8,11.0361545700016
7,0.65,3,10,2.29958619499939
7,1.4,1,4,0.820980673000031
7,1.4,1,6,1.42474911112538
7,1.4,1,8,1.21547872908017
7,1.4,1,10,3.62155679356306
7,1.4,3,4,0.749551150000419
7,1.4,3,6,4.31803258999935
7,1.4,3,8,2.49100858199972
7,1.4,3,10,2.01850396500026
8,0.65,1,4,0.536629124000001
8,0.65,1,6,0.673008932399971
8,0.65,1,8,0.820723714163102
8,0.65,1,10,0.969139326094023
8,0.65,3,4,0.716656421749576
8,0.65,3,6,0.552863107439771
8,0.65,3,8,1.60889245057336
8,0.65,3,10,0.522462382000716
8,1.4,1,4,0.553441342468701
8,1.4,1,6,1.14621678642875
8,1.4,1,8,0.801392618812457
8,1.4,1,10,0.934474372750174
8,1.4,3,4,0.636078876799729
8,1.4,3,6,0.476931000999684
8,1.4,3,8,0.607786161333327
8,1.4,3,10,0.868828452285535
9,0.65,1,4,0.849413501015491
9,0.65,1,6,1.76502939149992
9,0.65,1,8,2.28483929916016
9,0.65,1,10,1.96078538876
9,0.65,3,4,1.20321877199996
9,0.65,3,6,0.785341390000099
9,0.65,3,8,1.46815275000017
9,0.65,3,10,2.30043228374939
9,1.4,1,4,0.8953240509387
9,1.4,1,6,2.14840547887512
