Subject_code,foreperiod,predictability,difficulty,nanmean_RTCorrect
1,0.65,1,4,0.542667932200129
1,0.65,1,6,0.727873910666858
1,0.65,1,8,0.824940051500107
1,0.65,1,10,0.440572026999689
1,0.65,3,4,0.460536582332982
1,0.65,3,6,0.910771875306757
1,0.65,3,8,0.696600011250212
1,0.65,3,10,0.577066061999631
1,1.4,1,4,0.524804266856985
1,1.4,1,6,1.21791710540037
1,1.4,1,8,0.401703480000833
1,1.4,1,10,1.041363283143
1,1.4,3,4,0.485932549000063
1,1.4,3,6,0.801013229499404
1,1.4,3,8,1.17355256425003
1,1.4,3,10,1.6020690549999
2,0.65,1,4,0.703008687545
2,0.65,1,6,0.781587445499554
2,0.65,1,8,0.659211906499877
2,0.65,1,10,0.623705712499032
2,0.65,3,4,1.25629550340054
2,0.65,3,6,0.910771875306757
2,0.65,3,8,0.490300688000389
2,0.65,3,10,1.16376850699999
2,1.4,1,4,0.889711813500071
2,1.4,1,6,0.852684458599833
2,1.4,1,8,1.35705059249995
2,1.4,1,10,0.759560878399861
2,1.4,3,4,0.568737105999389
2,1.4,3,6,0.757481619333097
2,1.4,3,8,0.42885822199969
2,1.4,3,10,0.661250344999644
3,0.65,1,4,0.747452697200788
3,0.65,1,6,0.732536748666462
3,0.65,1,8,1.00740368133302
3,0.65,1,10,1.27556655124954
3,0.65,3,4,0.454913456500435
3,0.65,3,6,0.843602562499655
3,0.65,3,8,1.1160389246664
3,0.65,3,10,0.677931439334012
3,1.4,1,4,1.04585363520055
3,1.4,1,6,0.635535139400599
3,1.4,1,8,1.15756306850108
3,1.4,1,10,1.43309569719859
3,1.4,3,4,0.843738514332775
3,1.4,3,6,0.744636532333364
3,1.4,3,8,1.48617963699871
3,1.4,3,10,1.21524418275112
4,0.65,1,4,1.03783959581828
4,0.65,1,6,1.37571865557155
4,0.65,1,8,1.52191380160011
4,0.65,1,10,1.6406491586666
4,0.65,3,4,1.07243656466653
4,0.65,3,6,1.21455331050004
4,0.65,3,8,1.23928112300018
4,0.65,3,10,1.22490284619962
4,1.4,1,4,0.749425956000209
4,1.4,1,6,0.864480142200046
4,1.4,1,8,1.22806904437499
4,1.4,1,10,1.54081260400009
4,1.4,3,4,0.8623221273333
4,1.4,3,6,1.46422933250005
4,1.4,3,8,1.09529777499972
4,1.4,3,10,1.17571205766687
5,0.65,1,4,0.685577263285917
5,0.65,1,6,1.01363335169917
5,0.65,1,8,0.85815491250014
5,0.65,1,10,1.07226211840025
5,0.65,3,4,0.566639062571215
5,0.65,3,6,0.789575157499712
5,0.65,3,8,0.7675701904991
5,0.65,3,10,1.26214130699736
5,1.4,1,4,0.5782874812503
5,1.4,1,6,0.920018790799077
5,1.4,1,8,1.438849705001
5,1.4,1,10,1.14766199833442
5,1.4,3,4,0.780909858000086
5,1.4,3,6,2.7172892239978
5,1.4,3,8,0.807675044749885
5,1.4,3,10,0.674026295499061
6,0.65,1,4,0.773330620875015
6,0.65,1,6,0.686409179749887
6,0.65,1,8,0.735362310333433
6,0.65,1,10,0.513367016000075
6,0.65,3,4,0.559182841199845
6,0.65,3,6,0.604837275666569
6,0.65,3,8,0.910771875306757
6,0.65,3,10,0.683191442499833
6,1.4,1,4,0.819634360000055
