Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_TP
1,0,0.65,1,4,1
1,0,0.65,1,6,0
1,0,0.65,1,8,1
1,0,0.65,1,10,0
1,0,0.65,3,8,1
1,0,1.4,1,4,1
1,0,1.4,1,6,0.5
1,0,1.4,3,4,1
1,0,1.4,3,6,0.5
1,0,1.4,3,8,1
1,0.628318530717959,1.4,1,10,0
1,0.785398163397448,1.4,1,8,0
1,1.0471975511966,0.65,1,6,1
1,1.0471975511966,1.4,1,6,0.5
1,1.25663706143592,0.65,1,10,0
1,1.25663706143592,0.65,3,10,0
1,1.25663706143592,1.4,3,10,1
1,1.5707963267949,0.65,1,4,0
1,1.5707963267949,0.65,1,8,1
1,1.5707963267949,0.65,3,4,1
1,1.5707963267949,1.4,1,4,1
1,1.5707963267949,1.4,3,4,1
1,1.88495559215388,1.4,1,10,0.666666666666667
1,1.88495559215388,1.4,3,10,0.5
1,2.0943951023932,0.65,1,6,0
1,2.0943951023932,0.65,3,6,0
1,2.0943951023932,1.4,1,6,0.333333333333333
1,2.0943951023932,1.4,3,6,1
1,2.35619449019234,1.4,1,8,0
1,2.51327412287183,0.65,1,10,0
1,2.51327412287183,0.65,3,10,0
1,2.51327412287183,1.4,1,10,0.333333333333333
1,3.14159265358979,0.65,1,4,0.75
1,3.14159265358979,0.65,1,10,0.5
1,3.14159265358979,0.65,3,4,0.5
1,3.14159265358979,0.65,3,10,1
1,3.14159265358979,1.4,1,4,1
1,3.14159265358979,1.4,1,6,1
1,3.14159265358979,1.4,3,4,1
1,3.14159265358979,1.4,3,10,1
1,3.76991118430775,1.4,1,10,1
1,3.92699081698724,0.65,1,8,0
1,3.92699081698724,1.4,1,8,1
1,3.92699081698724,1.4,3,8,0
1,4.18879020478639,0.65,1,6,1
1,4.18879020478639,1.4,1,6,0
1,4.18879020478639,1.4,3,6,1
1,4.39822971502571,0.65,1,10,0
1,4.39822971502571,1.4,1,10,0
1,4.39822971502571,1.4,3,10,1
1,4.71238898038469,0.65,1,4,1
1,4.71238898038469,0.65,1,8,1
1,4.71238898038469,1.4,1,8,0
1,4.71238898038469,1.4,3,4,1
1,4.71238898038469,1.4,3,8,0.5
1,5.02654824574367,0.65,1,10,1
1,5.02654824574367,1.4,3,10,0
1,5.23598775598299,0.65,1,6,0.5
1,5.23598775598299,0.65,3,6,0
1,5.49778714378214,0.65,1,8,1
1,5.49778714378214,1.4,1,8,0.5
1,5.49778714378214,1.4,3,8,1
1,5.65486677646163,0.65,3,10,1
1,5.65486677646163,1.4,1,10,1
2,0,0.65,1,4,1
2,0,0.65,1,6,0.5
2,0,0.65,3,4,1
2,0,0.65,3,10,0.5
2,0,1.4,1,4,1
2,0,1.4,1,8,0.5
2,0,1.4,1,10,0
2,0,1.4,3,4,0.5
2,0,1.4,3,6,1
2,0,1.4,3,10,0
2,0.628318530717959,1.4,1,10,1
2,0.785398163397448,0.65,1,8,1
2,0.785398163397448,1.4,3,8,1
2,1.0471975511966,0.65,1,6,0.5
2,1.0471975511966,1.4,1,6,1
2,1.25663706143592,0.65,1,10,0.5
2,1.25663706143592,0.65,3,10,0
2,1.25663706143592,1.4,1,10,1
2,1.5707963267949,0.65,1,4,1
2,1.5707963267949,0.65,3,4,0.5
2,1.5707963267949,0.65,3,8,1
2,1.5707963267949,1.4,1,4,1
2,1.5707963267949,1.4,1,8,0.5
2,1.5707963267949,1.4,3,4,0
2,1.5707963267949,1.4,3,8,0
2,1.88495559215388,0.65,1,10,0
2,1.88495559215388,0.65,3,10,0
2,1.88495559215388,1.4,1,10,1
2,1.88495559215388,1.4,3,10,1
2,2.0943951023932,0.65,1,6,0
2,2.0943951023932,0.65,3,6,0
