Subject_code,Top,foreperiod,predictability,difficulty,nanmean_TP,perfGrp
2,0,0.65,1,4,1,1
2,0,0.65,1,8,0.541666666666667,1
2,0,0.65,3,4,1,1
2,0,0.65,3,8,0.666666666666667,1
2,0,1.4,1,4,1,1
2,0,1.4,1,8,0.625,1
2,0,1.4,3,4,0.916666666666667,1
2,0,1.4,3,8,0.5,1
2,1,0.65,1,4,0.916666666666667,1
2,1,0.65,1,8,0.75,1
2,1,0.65,3,4,1,1
2,1,0.65,3,8,0.75,1
2,1,1.4,1,4,0.916666666666667,1
2,1,1.4,1,8,0.791666666666667,1
2,1,1.4,3,4,1,1
2,1,1.4,3,8,0.583333333333333,1
3,0,0.65,1,4,0.916666666666667,1
3,0,0.65,1,8,0.416666666666667,1
3,0,0.65,3,4,1,1
3,0,0.65,3,8,0.0833333333333333,1
3,0,1.4,1,4,0.958333333333333,1
3,0,1.4,1,8,0.25,1
3,0,1.4,3,4,1,1
3,0,1.4,3,8,0.25,1
3,1,0.65,1,4,1,1
3,1,0.65,1,8,0.958333333333333,1
3,1,0.65,3,4,0.75,1
3,1,0.65,3,8,0.666666666666667,1
3,1,1.4,1,4,0.958333333333333,1
3,1,1.4,1,8,0.833333333333333,1
3,1,1.4,3,4,1,1
3,1,1.4,3,8,0.916666666666667,1
4,0,0.65,1,4,0.958333333333333,1
4,0,0.65,1,8,0.333333333333333,1
4,0,0.65,3,4,1,1
4,0,0.65,3,8,0.25,1
4,0,1.4,1,4,0.958333333333333,1
4,0,1.4,1,8,0.5,1
4,0,1.4,3,4,1,1
4,0,1.4,3,8,0.5,1
4,1,0.65,1,4,0.958333333333333,1
4,1,0.65,1,8,0.625,1
4,1,0.65,3,4,0.916666666666667,1
4,1,0.65,3,8,0.666666666666667,1
4,1,1.4,1,4,1,1
4,1,1.4,1,8,0.708333333333333,1
4,1,1.4,3,4,0.916666666666667,1
4,1,1.4,3,8,0.75,1
5,0,0.65,1,4,1,1
5,0,0.65,1,8,0.5,1
5,0,0.65,3,4,1,1
5,0,0.65,3,8,0.75,1
5,0,1.4,1,4,1,1
5,0,1.4,1,8,0.541666666666667,1
5,0,1.4,3,4,1,1
5,0,1.4,3,8,0.333333333333333,1
5,1,0.65,1,4,1,1
5,1,0.65,1,8,0.916666666666667,1
5,1,0.65,3,4,1,1
5,1,0.65,3,8,0.75,1
5,1,1.4,1,4,1,1
5,1,1.4,1,8,0.666666666666667,1
5,1,1.4,3,4,1,1
5,1,1.4,3,8,0.833333333333333,1
10,0,0.65,1,4,1,1
10,0,0.65,1,8,0.708333333333333,1
10,0,0.65,3,4,1,1
10,0,0.65,3,8,0.5,1
10,0,1.4,1,4,0.958333333333333,1
10,0,1.4,1,8,0.75,1
10,0,1.4,3,4,0.916666666666667,1
10,0,1.4,3,8,0.666666666666667,1
10,1,0.65,1,4,0.958333333333333,1
10,1,0.65,1,8,0.875,1
10,1,0.65,3,4,0.833333333333333,1
10,1,0.65,3,8,0.833333333333333,1
10,1,1.4,1,4,1,1
10,1,1.4,1,8,0.875,1
10,1,1.4,3,4,1,1
10,1,1.4,3,8,0.75,1
