Subject_code,foreperiod,predictability,difficulty,nanmean_score,d_prime
1,0.65,1,4,0.9375,1.31842379728654
1,0.65,1,8,0.833333333333333,-2.67109890191643
1,0.65,3,4,1,1.65007206546755
1,0.65,3,8,0.791666666666667,-3.44651639020399
1,1.4,1,4,0.9375,1.42928752585324
1,1.4,1,8,0.895833333333333,-2.22858690516871
1,1.4,3,4,0.958333333333333,1.20724576288013
1,1.4,3,8,0.916666666666667,-2.56149239670854
2,0.65,1,4,0.958333333333333,1.53983694858025
2,0.65,1,8,0.645833333333333,-1.78136032082545
2,0.65,3,4,1,1.65007206546755
2,0.65,3,8,0.708333333333333,-0.562802224110772
2,1.4,1,4,0.958333333333333,1.65070067714696
2,1.4,1,8,0.708333333333333,-0.673665952677479
2,1.4,3,4,0.958333333333333,1.42897322001354
2,1.4,3,8,0.541666666666667,-1.44719760592682
3,0.65,1,4,0.958333333333333,1.20724576288013
3,0.65,1,8,0.6875,-0.596229053052241
3,0.65,3,4,0.875,1.41037584513173
3,0.65,3,8,0.375,-2.33159298774286
3,1.4,1,4,0.958333333333333,1.31810949144683
3,1.4,1,8,0.541666666666667,-1.33633387736011
3,1.4,3,4,1,1.20661715120072
3,1.4,3,8,0.583333333333333,-0.339188931939142
4,0.65,1,4,0.958333333333333,1.53717052736338
4,0.65,1,8,0.479166666666667,-1.0078316854515
4,0.65,3,4,0.958333333333333,1.42897322001354
4,0.65,3,8,0.458333333333333,-1.88939529683484
4,1.4,1,4,0.979166666666667,1.53952264274055
4,1.4,1,8,0.604166666666667,-0.794752165722985
4,1.4,3,4,0.958333333333333,1.65070067714696
4,1.4,3,8,0.625,-0.349457867841739
5,0.65,1,4,1,1.87179952260097
5,0.65,1,8,0.708333333333333,-0.230211038410648
5,0.65,3,4,1,1.65007206546755
5,0.65,3,8,0.75,0.545206449876902
5,1.4,1,4,1,1.87179952260097
5,1.4,1,8,0.604166666666667,-0.782958152045676
5,1.4,3,4,1,1.87179952260097
5,1.4,3,8,0.583333333333333,-1.00437130333939
6,0.65,1,4,0.895833333333333,1.20818868039923
6,0.65,1,8,0.458333333333333,-1.3350766540013
6,0.65,3,4,0.916666666666667,0.96686626897973
6,0.65,3,8,0.25,-2.55143460983806
6,1.4,1,4,0.895833333333333,0.875597494699109
6,1.4,1,8,0.5,-1.16839076806191
6,1.4,3,4,0.958333333333333,1.42897322001354
6,1.4,3,8,0.583333333333333,-1.00437130333939
7,0.65,1,4,0.958333333333333,1.20724576288013
7,0.65,1,8,0.75,-2.22638676429079
7,0.65,3,4,1,1.87179952260097
7,0.65,3,8,0.708333333333333,-1.89316696691127
7,1.4,1,4,0.979166666666667,1.53480503726962
7,1.4,1,8,0.8125,-1.00782866757612
7,1.4,3,4,1,1.87179952260097
7,1.4,3,8,0.708333333333333,-2.11489442404468
8,0.65,1,4,1,1.76093579403426
8,0.65,1,8,0.479166666666667,-1.9109388272937
8,0.65,3,4,1,1.87179952260097
8,0.65,3,8,0.583333333333333,-1.31324431167769
8,1.4,1,4,1,1.76093579403426
8,1.4,1,8,0.6875,-0.805444600023642
8,1.4,3,4,1,1.65007206546755
8,1.4,3,8,0.708333333333333,-1.44971205264443
9,0.65,1,4,0.958333333333333,1.65070067714696
9,0.65,1,8,0.708333333333333,-1.67143950977785
9,0.65,3,4,0.958333333333333,1.20724576288013
9,0.65,3,8,0.583333333333333,-2.42188159734477
9,1.4,1,4,0.875,0.986775529105519
9,1.4,1,8,0.708333333333333,-2.28001061552701
9,1.4,3,4,0.833333333333333,0.987404140784924
9,1.4,3,8,0.666666666666667,-2.33599326949869
10,0.65,1,4,0.979166666666667,1.53952264274055
10,0.65,1,8,0.791666666666667,-1.00751436173641
10,0.65,3,4,0.916666666666667,0.764419460292699
10,0.65,3,8,0.666666666666667,-2.62564029127578
10,1.4,1,4,0.979166666666667,1.65038637130725
10,1.4,1,8,0.8125,-1.11869239614282
10,1.4,3,4,0.958333333333333,1.65070067714696
10,1.4,3,8,0.708333333333333,-1.22798459551102
11,0.65,1,4,0.9375,1.54015125441995
11,0.65,1,8,0.604166666666667,-1.22641306631251
11,0.65,3,4,1,1.87179952260097
11,0.65,3,8,0.583333333333333,-1.44782621760622
11,1.4,1,4,0.9375,1.20756006871983
11,1.4,1,8,0.520833333333333,-1.63103709741043
11,1.4,3,4,0.958333333333333,1.65070067714696
11,1.4,3,8,0.5,-1.89002390851424
