Subject_code,trial_code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,RT_TP,xpos,ypos,perfGrp
1,66,1.4,3,4,2,0.615240135000022,2,66,8,4,1.81583714600038,1,0.615240135000022,4,0,1,0,0,NaN,NaN,NaN,1
1,5,0.65,1,4,1,0.46263552200071,1,5,3,4,1.11446971700025,1,0.46263552200071,4,1,0,0,0,0.46263552200071,-1,1.22464679914735e-16,1
1,158,0.65,1,8,2,0.781701229000646,2,14,16,2,2.67653510699984,1,0.781701229000646,2,0,1,0,0,NaN,NaN,NaN,1
1,222,0.65,1,10,2,2.28528167999957,2,6,19,2,0.79387312200015,1,2.28528167999957,2,0,1,0,0,NaN,NaN,NaN,1
1,227,0.65,1,10,2,1.0858710399998,1,11,8,1,0.415521714000533,0,NaN,NaN,0,0,0,1,NaN,-0.309016994374948,-0.951056516295154,1
1,106,1.4,1,6,2,1.15354713300076,2,34,10,3,1.51239145499949,1,1.15354713300076,3,0,1,0,0,NaN,NaN,NaN,1
1,179,1.4,1,8,2,0.957188362000124,2,35,16,3,0.801618100000269,1,0.957188362000124,3,0,1,0,0,NaN,NaN,NaN,1
1,54,1.4,3,4,1,0.615748828000505,1,54,2,4,0.975290952999785,1,0.615748828000505,4,1,0,0,0,0.615748828000505,6.12323399573677e-17,1,1
1,88,0.65,1,6,2,1.73322469300001,2,16,7,3,0.539399732000675,1,1.73322469300001,3,0,1,0,0,NaN,NaN,NaN,1
1,226,0.65,1,10,2,3.38347437099947,1,10,1,2,1.0908866360005,0,NaN,NaN,0,0,0,1,NaN,1,0,1
1,218,0.65,1,10,2,1.03332645699993,2,2,20,3,0.23634363400015,1,1.03332645699993,3,0,1,0,0,NaN,NaN,NaN,1
1,225,0.65,1,10,2,0.763990138999361,2,9,15,2,1.60224751599981,1,0.763990138999361,2,0,1,0,0,NaN,NaN,NaN,1
1,10,0.65,1,4,2,0.506613401000322,2,10,8,4,0.305685990000711,1,0.506613401000322,4,0,1,0,0,NaN,NaN,NaN,1
