Subject_code,code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,RT_TP,xpos,ypos,perfGrp
1,573,0.65,3,4,2,0.615876956000648,2,189,7,4,1.21286528099972,4,1,0.615876956000648,4,0,1,0,0,NaN,NaN,NaN,1
1,646,1.4,1,8,1,2.12709714100038,2,262,16,2,0.960034703999554,2,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,435,1.4,1,4,1,1.80874485999993,1,51,2,2,0.79252458100018,2,1,1.80874485999993,2,1,0,0,0,1.80874485999993,-0.707106781186547,0.707106781186548,1
1,675,1.4,1,8,1,0.988634918000571,1,291,5,2,0.278387726999426,3,1,0.988634918000571,2,1,0,0,0,0.988634918000571,-0.923879532511287,-0.38268343236509,1
1,695,1.4,1,8,1,1.09648305800056,2,311,10,2,0.280480379999972,3,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,491,1.4,1,4,1,0.6835790669993,1,107,3,4,0.172232631999577,3,1,0.6835790669993,4,1,0,0,0,0.6835790669993,-0.707106781186548,-0.707106781186547,1
1,438,1.4,1,4,1,0.171367113999622,1,54,2,4,0.516025017999709,2,1,0.171367113999622,4,1,0,0,0,0.171367113999622,-0.707106781186547,0.707106781186548,1
1,387,1.4,1,4,1,0.482254743999874,1,3,1,4,0.17206253600034,1,1,0.482254743999874,4,1,0,0,0,0.482254743999874,0.707106781186548,0.707106781186547,1
1,749,0.65,3,8,1,0.993961293999746,1,365,7,3,0.834911367000132,4,1,0.993961293999746,3,1,0,0,0,0.993961293999746,0.38268343236509,-0.923879532511287,1
1,403,1.4,1,4,2,1.13367789600034,2,19,8,4,0.685365627000465,1,1,1.13367789600034,4,0,1,0,0,NaN,NaN,NaN,1
1,601,0.65,3,8,1,0.689912234999611,1,217,1,2,0.45172133899996,1,1,0.689912234999611,2,1,0,0,0,0.689912234999611,0.923879532511287,0.38268343236509,1
1,531,1.4,1,4,2,1.12742839299972,1,147,4,4,0.51547930400011,4,0,NaN,NaN,0,0,0,1,NaN,0.707106781186547,-0.707106781186548,1
1,424,1.4,3,4,2,0.715950034999878,2,40,7,4,0.347045126000012,1,1,0.715950034999878,4,0,1,0,0,NaN,NaN,NaN,1
1,397,1.4,1,4,2,0.820752212999651,2,13,6,4,0.347069108000142,1,1,0.820752212999651,4,0,1,0,0,NaN,NaN,NaN,1
1,598,1.4,1,8,1,1.50361016999977,2,214,10,2,0.964431183999295,1,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,456,1.4,1,4,2,0.824855739999293,2,72,6,3,0.484439949999796,2,1,0.824855739999293,3,0,1,0,0,NaN,NaN,NaN,1
1,760,1.4,3,8,2,1.43301971599976,2,376,9,2,1.13988891000008,4,1,1.43301971599976,2,0,1,0,0,NaN,NaN,NaN,1
1,743,1.4,1,8,1,1.09165982000013,2,359,10,2,0.448661211999934,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,582,1.4,1,8,1,0.476014564000252,1,198,1,3,0.480787708000207,1,1,0.476014564000252,3,1,0,0,0,0.476014564000252,0.923879532511287,0.38268343236509,1
1,625,1.4,1,8,1,0.684530624000217,1,241,3,3,0.487744234000274,2,1,0.684530624000217,3,1,0,0,0,0.684530624000217,-0.38268343236509,0.923879532511287,1
1,660,1.4,3,8,1,0.994837862000168,1,276,4,2,0.281769924999935,2,1,0.994837862000168,2,1,0,0,0,0.994837862000168,-0.923879532511287,0.38268343236509,1
1,420,1.4,3,4,1,0.374474625999937,1,36,1,4,0.173025293000137,1,1,0.374474625999937,4,1,0,0,0,0.374474625999937,0.707106781186548,0.707106781186547,1
1,697,0.65,3,8,1,0.581643849000102,1,313,5,4,0.175252701999852,3,1,0.581643849000102,4,1,0,0,0,0.581643849000102,-0.923879532511287,-0.38268343236509,1
1,722,1.4,1,8,1,0.48189751100017,1,338,7,3,0.313799965000726,4,1,0.48189751100017,3,1,0,0,0,0.48189751100017,0.38268343236509,-0.923879532511287,1
1,635,1.4,1,8,2,1.43804640399958,1,251,4,2,0.280566872999771,2,0,NaN,NaN,0,0,0,1,NaN,-0.923879532511287,0.38268343236509,1
1,404,1.4,1,4,2,0.818598903999373,2,20,8,4,0.172570042000189,1,1,0.818598903999373,4,0,1,0,0,NaN,NaN,NaN,1
1,536,1.4,1,4,1,0.379156470999988,1,152,4,4,0.523843455000133,4,1,0.379156470999988,4,1,0,0,0,0.379156470999988,0.707106781186547,-0.707106781186548,1
1,388,1.4,1,4,1,0.272084603999247,1,4,1,4,0.34388919400044,1,1,0.272084603999247,4,1,0,0,0,0.272084603999247,0.707106781186548,0.707106781186547,1
1,428,1.4,3,4,2,0.923601848000544,2,44,6,4,0.171267855999758,1,1,0.923601848000544,4,0,1,0,0,NaN,NaN,NaN,1
1,640,1.4,1,8,2,1.13479652100068,2,256,11,2,0.451249190000453,2,1,1.13479652100068,2,0,1,0,0,NaN,NaN,NaN,1
1,734,1.4,1,8,1,0.686931808000736,2,350,14,2,0.797675783999694,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,409,0.65,3,4,1,0.685197212000276,1,25,1,4,0.172403763000148,1,1,0.685197212000276,4,1,0,0,0,0.685197212000276,0.707106781186548,0.707106781186547,1
1,674,1.4,1,8,1,0.785336918000212,1,290,5,3,0.313509016999888,3,1,0.785336918000212,3,1,0,0,0,0.785336918000212,-0.923879532511287,-0.38268343236509,1
1,436,1.4,1,4,1,0.479741259999173,1,52,2,4,0.174884134999957,2,1,0.479741259999173,4,1,0,0,0,0.479741259999173,-0.707106781186547,0.707106781186548,1
1,460,1.4,3,4,1,0.686577741000292,1,76,2,4,0.175781190000635,2,1,0.686577741000292,4,1,0,0,0,0.686577741000292,-0.707106781186547,0.707106781186548,1
1,696,1.4,1,8,2,1.02951328800009,2,312,16,3,0.828003965000789,3,1,1.02951328800009,3,0,1,0,0,NaN,NaN,NaN,1
1,421,0.65,3,4,2,0.82026044200029,2,37,7,3,0.481063917000029,1,1,0.82026044200029,3,0,1,0,0,NaN,NaN,NaN,1
1,723,1.4,1,8,1,0.886454067000159,1,339,7,3,1.33654275400022,4,1,0.886454067000159,3,1,0,0,0,0.886454067000159,0.38268343236509,-0.923879532511287,1
1,513,0.65,3,4,1,0.784881487999883,1,129,3,4,0.175986414999898,3,1,0.784881487999883,4,1,0,0,0,0.784881487999883,-0.707106781186548,-0.707106781186547,1
1,505,0.65,3,4,1,0.276949367999805,1,121,3,4,0.870930148000298,3,1,0.276949367999805,4,1,0,0,0,0.276949367999805,-0.707106781186548,-0.707106781186547,1
1,576,1.4,3,4,2,0.613571423999929,2,192,6,4,0.173436691999996,4,1,0.613571423999929,4,0,1,0,0,NaN,NaN,NaN,1
1,544,1.4,1,4,2,0.619338935999622,2,160,7,4,0.162463097,4,1,0.619338935999622,4,0,1,0,0,NaN,NaN,NaN,1
1,443,1.4,1,4,1,0.786713282000164,1,59,2,4,0.17574649800008,2,1,0.786713282000164,4,1,0,0,0,0.786713282000164,-0.707106781186547,0.707106781186548,1
1,543,1.4,1,4,2,0.407683663000171,2,159,7,4,0.176292964000822,4,1,0.407683663000171,4,0,1,0,0,NaN,NaN,NaN,1
1,731,1.4,1,8,1,1.19990699700065,1,347,8,2,0.619992506000017,4,1,1.19990699700065,2,1,0,0,0,1.19990699700065,0.923879532511287,-0.38268343236509,1
1,712,1.4,3,8,1,1.81184335499984,2,328,12,2,0.281954377000147,3,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,736,1.4,1,8,1,1.20170276499994,2,352,16,2,0.619304444000591,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,385,1.4,1,4,1,0.377675705000001,1,1,1,4,0.177259530999436,1,1,0.377675705000001,4,1,0,0,0,0.377675705000001,0.707106781186548,0.707106781186547,1
1,401,1.4,1,4,2,1.43463996999981,2,17,6,3,0.654360213000473,1,1,1.43463996999981,3,0,1,0,0,NaN,NaN,NaN,1
1,532,1.4,1,4,1,0.580369717999929,1,148,4,4,0.173671204999664,4,1,0.580369717999929,4,1,0,0,0,0.580369717999929,0.707106781186547,-0.707106781186548,1
1,738,1.4,1,8,1,1.19743159000063,2,354,13,3,0.313537199000166,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,726,1.4,1,8,1,0.889440160999584,1,342,7,2,0.788353564000317,4,1,0.889440160999584,2,1,0,0,0,0.889440160999584,0.38268343236509,-0.923879532511287,1
1,628,1.4,1,8,1,1.30055199799972,1,244,3,2,0.274772284999926,2,1,1.30055199799972,2,1,0,0,0,1.30055199799972,-0.38268343236509,0.923879532511287,1
1,647,1.4,1,8,1,0.585073708999516,2,263,16,4,0.856648495000627,2,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,398,1.4,1,4,2,0.75875380099933,2,14,7,3,0.655659301000014,1,1,0.75875380099933,3,0,1,0,0,NaN,NaN,NaN,1
1,687,1.4,1,8,2,0.933828412999901,2,303,11,2,0.623101445999964,3,1,0.933828412999901,2,0,1,0,0,NaN,NaN,NaN,1
1,488,1.4,1,4,1,0.791131384000437,1,104,3,3,0.481838493999931,3,1,0.791131384000437,3,1,0,0,0,0.791131384000437,-0.707106781186548,-0.707106781186547,1
1,626,1.4,1,8,1,1.60366273499949,1,242,3,2,0.617749157000617,2,1,1.60366273499949,2,1,0,0,0,1.60366273499949,-0.38268343236509,0.923879532511287,1
1,709,0.65,3,8,2,2.65534747099991,2,325,10,1,0.4130789310002,3,1,2.65534747099991,1,0,1,0,0,NaN,NaN,NaN,1
1,492,1.4,1,4,1,0.376372625999466,1,108,3,4,0.511380983999516,3,1,0.376372625999466,4,1,0,0,0,0.376372625999466,-0.707106781186548,-0.707106781186547,1
1,390,1.4,1,4,1,0.378581731999475,1,6,1,4,0.178121113000088,1,1,0.378581731999475,4,1,0,0,0,0.378581731999475,0.707106781186548,0.707106781186547,1
1,565,0.65,3,4,1,1.2975490459994,2,181,5,1,1.61437767799998,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,725,1.4,1,8,1,0.889829110000392,1,341,7,3,0.827285992000725,4,1,0.889829110000392,3,1,0,0,0,0.889829110000392,0.38268343236509,-0.923879532511287,1
1,440,1.4,1,4,1,0.480090791999828,1,56,2,4,0.17464184399978,2,1,0.480090791999828,4,1,0,0,0,0.480090791999828,-0.707106781186547,0.707106781186548,1
1,433,1.4,1,4,1,0.375586221000049,1,49,2,4,0.176265716000671,2,1,0.375586221000049,4,1,0,0,0,0.375586221000049,-0.707106781186547,0.707106781186548,1
1,502,1.4,1,4,2,2.25467427900003,2,118,6,3,1.1811375719999,3,1,2.25467427900003,3,0,1,0,0,NaN,NaN,NaN,1
1,495,1.4,1,4,2,0.921091917000012,2,111,6,3,0.654160078999666,3,1,0.921091917000012,3,0,1,0,0,NaN,NaN,NaN,1
1,617,0.65,3,8,1,0.584653951000291,2,233,9,4,0.859989720999693,1,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
1,638,1.4,1,8,1,2.31737514899942,2,254,16,3,0.650903945000209,2,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
